S/NO.,TIME,STATION,IU,CASHCARD,VEHICLE,CARDTYPE,AMOUNT
0,1/6/22 06:43,Entry     ,C13470461157,0,,Season         ,$0.00 
1,1/6/22 07:23,Entry     ,C13471728958,0,,               ,$0.00 
2,1/6/22 07:33,Entry     ,C13475420908,0,,Season         ,$0.00 
3,1/6/22 07:49,Entry     ,C13471356018,0,,               ,$0.00 
4,1/6/22 07:55,Entry     ,C13475456517,0,,Hourly         ,$0.00 
5,1/6/22 07:59,Entry     ,C13473545552,0,,Hourly         ,$0.00 
6,1/6/22 08:01,Entry     ,C13473597394,0,,Hourly         ,$0.00 
7,1/6/22 08:02,Entry     ,C13566348834,0,,               ,$0.00 
8,1/6/22 08:03,Entry     ,C13471891516,0,,Season         ,$0.00 
9,1/6/22 08:04,Entry     ,C13474691731,0,,               ,$0.00 
10,1/6/22 08:04,Entry     ,C13474601064,0,,Season         ,$0.00 
11,1/6/22 08:09,Entry     ,C13473875148,0,,Season         ,$0.00 
12,1/6/22 08:09,Entry     ,C13374701517,0,,               ,$0.00 
13,1/6/22 08:14,Entry     ,C13472907504,0,,Season         ,$0.00 
14,1/6/22 08:18,Entry     ,C13473144081,0,,Season         ,$0.00 
15,1/6/22 08:20,Entry     ,C13472444959,0,,Season         ,$0.00 
16,1/6/22 08:24,Entry     ,C13472281179,0,,Season         ,$0.00 
17,1/6/22 08:36,Entry     ,C13566474525,0,,Season         ,$0.00 
18,1/6/22 08:36,Entry     ,C13469870746,0,,Hourly         ,$0.00 
19,1/6/22 08:36,Entry     ,C13474693365,0,,Season         ,$0.00 
20,1/6/22 08:41,Entry     ,C13473275430,0,,Season         ,$0.00 
21,1/6/22 08:43,Entry     ,C13566533264,0,,Season         ,$0.00 
22,1/6/22 08:43,Entry     ,C13471638926,0,,               ,$0.00 
23,1/6/22 08:44,Entry     ,C13473210056,0,,Season         ,$0.00 
24,1/6/22 08:44,Entry     ,C13471773724,0,,               ,$0.00 
25,1/6/22 08:49,Entry     ,C13474821932,0,,Season         ,$0.00 
26,1/6/22 08:54,Entry     ,C13471054099,0,,Season         ,$0.00 
27,1/6/22 08:59,Entry     ,C13472983023,0,,Season         ,$0.00 
28,1/6/22 09:04,Entry     ,C13469137501,0,,Season         ,$0.00 
29,1/6/22 09:04,Entry     ,C13467801561,0,,Hourly         ,$0.00 
30,1/6/22 09:06,Entry     ,C13472299008,0,,Season         ,$0.00 
31,1/6/22 09:12,Entry     ,C13474017112,0,,Season         ,$0.00 
32,1/6/22 09:16,Entry     ,C13475514638,0,,Season         ,$0.00 
33,1/6/22 09:17,Entry     ,C13474114661,0,,Season         ,$0.00 
34,1/6/22 09:24,Entry     ,C13474484765,0,,Season         ,$0.00 
35,1/6/22 09:26,Entry     ,C13472504781,0,,Hourly         ,$0.00 
36,1/6/22 09:28,Entry     ,C13471671086,0,,Hourly         ,$0.00 
37,1/6/22 09:30,Entry     ,C13565808591,0,,Season         ,$0.00 
38,1/6/22 09:41,Entry     ,C13471307441,0,,Hourly         ,$0.00 
39,1/6/22 09:41,Entry     ,C13474802710,0,,Season         ,$0.00 
40,1/6/22 09:42,Entry     ,C13388938526,0,,Hourly         ,$0.00 
41,1/6/22 09:49,Exit      ,C13470650172,0,,Season         ,$0.00 
42,1/6/22 09:51,Entry     ,C13470272306,0,,Season         ,$0.00 
43,1/6/22 10:01,Entry     ,C13469679854,0,,Hourly         ,$0.00 
44,1/6/22 10:11,Entry     ,C13388594434,0,,Hourly         ,$0.00 
45,1/6/22 10:13,Entry     ,C13472456098,0,,Season         ,$0.00 
46,1/6/22 10:15,Entry     ,C13470639398,0,,Hourly         ,$0.00 
47,1/6/22 10:25,Exit      ,C13388594434,1.11E+15,,Hourly         ,$0.56 
48,1/6/22 10:25,Entry     ,C13388696510,0,,Hourly         ,$0.00 
49,1/6/22 10:33,Exit      ,C13388696510,0,,Hourly         ,$0.00 
50,1/6/22 11:23,Exit      ,C13473597394,1.11E+15,,Hourly         ,$8.36 
51,1/6/22 11:37,Entry     ,C13470650172,0,,Season         ,$0.00 
52,1/6/22 11:53,Exit      ,C13467801561,1.11E+15,,Hourly         ,$7.34 
53,1/6/22 12:03,Exit      ,C13474802710,0,,Season         ,$0.00 
54,1/6/22 12:08,Exit      ,C13470639398,1.11E+15,,Hourly         ,$5.25 
55,1/6/22 12:24,Exit      ,C13473210056,0,,Season         ,$0.00 
56,1/6/22 12:27,Exit      ,C13469679854,1.11E+15,,Hourly         ,$6.76 
57,1/6/22 12:31,Exit      ,C13475514638,0,,Season         ,$0.00 
58,1/6/22 13:02,Entry     ,C13474802710,0,,Season         ,$0.00 
59,1/6/22 13:05,Entry     ,C13475577446,0,,Hourly         ,$0.00 
60,1/6/22 13:13,Entry     ,C13475592632,0,,Hourly         ,$0.00 
61,1/6/22 13:17,Entry     ,C13469963689,0,,Hourly         ,$0.00 
62,1/6/22 13:23,Exit      ,C13472983023,0,,Season         ,$0.00 
63,1/6/22 13:31,Exit      ,C13470272306,0,,Season         ,$0.00 
64,1/6/22 13:35,Entry     ,C13473210056,0,,Season         ,$0.00 
65,1/6/22 13:41,Entry     ,C13473787109,0,,Season         ,$0.00 
66,1/6/22 13:45,Exit      ,C13471356018,0,,Use Ticket     ,$0.00 
67,1/6/22 13:46,Entry     ,C13472894509,0,,Hourly         ,$0.00 
68,1/6/22 13:51,Exit      ,C13469963689,1.11E+15,,Hourly         ,$1.70 
69,1/6/22 13:54,Exit      ,C13475592632,1.11E+15,,Hourly         ,$2.10 
70,1/6/22 14:02,Entry     ,C13473770570,0,,Season         ,$0.00 
71,1/6/22 14:03,Entry     ,C13473730417,0,,Hourly         ,$0.00 
72,1/6/22 14:12,Entry     ,C13388714710,0,,Hourly         ,$0.00 
73,1/6/22 14:16,Entry     ,C13473597394,0,,Hourly         ,$0.00 
74,1/6/22 14:23,Exit      ,C13473787109,0,,Season         ,$0.00 
75,1/6/22 14:43,Entry     ,C13475514638,0,,Season         ,$0.00 
76,1/6/22 14:45,Exit      ,C13475577446,1.11E+15,,Hourly         ,$4.59 
77,1/6/22 14:51,Exit      ,C13388714710,1.11E+15,,Hourly         ,$1.56 
78,1/6/22 15:06,Entry     ,C13472983023,0,,Season         ,$0.00 
79,1/6/22 15:29,Exit      ,C13473597394,1.11E+15,,Hourly         ,$2.96 
80,1/6/22 16:00,Exit      ,C13473545552,0,,Use Ticket     ,$0.00 
81,1/6/22 16:05,Exit      ,C13374701517,0,,Use Ticket     ,$0.00 
82,1/6/22 16:06,Entry     ,C13388823832,0,,Hourly         ,$0.00 
83,1/6/22 16:19,Exit      ,C13388823832,1.11E+15,,Hourly         ,$0.52 
84,1/6/22 16:19,Entry     ,C13473037723,0,,Hourly         ,$0.00 
85,1/6/22 16:24,Exit      ,C13473770570,0,,Season         ,$0.00 
86,1/6/22 16:27,Exit      ,C13471671086,0,,Use Ticket     ,$0.00 
87,1/6/22 16:28,Entry     ,C13388826909,0,,Hourly         ,$0.00 
88,1/6/22 16:28,Exit      ,C13473730417,1.11E+15,,Hourly         ,$5.84 
89,1/6/22 16:38,Entry     ,C13066576112,0,,Season         ,$0.00 
90,1/6/22 16:39,Exit      ,C13066576112,0,,Season         ,$0.00 
91,1/6/22 16:45,Exit      ,C13066576112,0,,Season         ,$0.00 
92,1/6/22 16:47,Exit      ,C13565808591,0,,Season         ,$0.00 
93,1/6/22 16:49,Entry     ,C13066576112,0,,Season         ,$0.00 
94,1/6/22 16:49,Exit      ,C13066576112,0,,Season         ,$0.00 
95,1/6/22 16:50,Exit      ,C13471728958,0,,Use Ticket     ,$0.00 
96,1/6/22 16:58,Exit      ,C13475456517,0,,Use Ticket     ,$0.00 
97,1/6/22 16:59,Entry     ,C13475457763,0,,               ,$0.00 
98,1/6/22 17:03,Entry     ,C13473292489,0,,Hourly         ,$0.00 
99,1/6/22 17:08,Entry     ,C13473587956,0,,               ,$0.00 
100,1/6/22 17:20,Exit      ,C13472894509,1.11E+15,,Hourly         ,$8.74 
101,1/6/22 17:21,Exit      ,C13470461157,0,,Season         ,$0.00 
102,1/6/22 17:27,Exit      ,C13388826909,0,,Hourly         ,$2.36 
103,1/6/22 17:27,Entry     ,C13471710898,0,,Hourly         ,$0.00 
104,1/6/22 17:28,Exit      ,C13470650172,0,,Season         ,$0.00 
105,1/6/22 17:29,Exit      ,C13473875148,0,,Season         ,$0.00 
106,1/6/22 17:30,Entry     ,C13468343612,0,,Season         ,$0.00 
107,1/6/22 17:30,Exit      ,C13474601064,0,,Season         ,$0.00 
108,1/6/22 17:34,Exit      ,C13469137501,0,,Season         ,$0.00 
109,1/6/22 17:35,Exit      ,C13475457763,1.11E+15,,               ,$1.01 
110,1/6/22 17:35,Exit      ,C13472504781,0,,Use Ticket     ,$0.00 
111,1/6/22 17:36,Exit      ,C13474693365,0,,Season         ,$0.00 
112,1/6/22 17:38,Exit      ,C13474691731,0,,Use Ticket     ,$0.00 
113,1/6/22 17:41,Exit      ,C13468343612,0,,Season         ,$0.00 
114,1/6/22 17:45,Exit      ,C13566474525,0,,Season         ,$0.00 
115,1/6/22 17:54,Exit      ,C13474017112,0,,Season         ,$0.00 
116,1/6/22 17:59,Exit      ,C13472456098,0,,Season         ,$0.00 
117,1/6/22 18:00,Exit      ,C13471638926,0,,Use Ticket     ,$0.00 
118,1/6/22 18:01,Exit      ,C13566533264,0,,Season         ,$0.00 
119,1/6/22 18:05,Exit      ,C13474484765,0,,Season         ,$0.00 
120,1/6/22 18:05,Exit      ,C13472907504,0,,Season         ,$0.00 
121,1/6/22 18:06,Exit      ,C13473275430,0,,Season         ,$0.00 
122,1/6/22 18:13,Entry     ,C13466988802,0,,Hourly         ,$0.00 
123,1/6/22 18:17,Entry     ,C13470650172,0,,Season         ,$0.00 
124,1/6/22 18:17,Entry     ,C13474571374,0,,Hourly         ,$0.00 
125,1/6/22 18:18,Exit      ,C13469870746,0,,Use Ticket     ,$0.00 
126,1/6/22 18:19,Exit      ,C13474571374,0,,Hourly         ,$0.00 
127,1/6/22 18:20,Exit      ,C13471773724,0,,Use Ticket     ,$0.00 
128,1/6/22 18:25,Exit      ,C13472281179,0,,Season         ,$0.00 
129,1/6/22 18:38,Exit      ,C13472983023,0,,Season         ,$0.00 
130,1/6/22 18:39,Exit      ,C13471054099,0,,Season         ,$0.00 
131,1/6/22 18:40,Entry     ,C13468051791,0,,Hourly         ,$0.00 
132,1/6/22 18:42,Entry     ,C13471668752,0,,Hourly         ,$0.00 
133,1/6/22 18:45,Exit      ,C13471710898,1.11E+15,,Hourly         ,$4.32 
134,1/6/22 18:46,Entry     ,C13472288747,0,,Hourly         ,$0.00 
135,1/6/22 18:46,Exit      ,C13474114661,0,,Season         ,$0.00 
