S/NO.,ENTRYDATETIME,IU,CASHCARD,VEHICLE,CARDTYPE,AMOUNT,EXITDATETIME
4,2022-06-01 06:32:00,C13471663075,0,,Season         ,$0.00 ,2022-06-01 23:14:00
6,2022-06-01 06:43:00,C13388682699,1.11E+15,,Hourly         ,$1.76 ,2022-06-01 07:26:00
8,2022-06-01 06:45:00,C13565920914,1.11E+15,,Hourly         ,$2.16 ,2022-06-01 07:38:00
10,2022-06-01 07:01:00,C13472905803,0,,Season         ,$0.00 ,2022-06-01 16:19:00
12,2022-06-01 07:15:00,C13466210869,0,,Season         ,$0.00 ,2022-06-01 19:30:00
14,2022-06-01 07:24:00,C13565702867,0,,Season         ,$0.00 ,2022-06-01 17:37:00
18,2022-06-01 07:43:00,C13388365770,0,,Hourly         ,$0.00 ,2022-06-01 07:51:00
20,2022-06-01 07:46:00,C13475592426,0,,Season         ,$0.00 ,2022-06-01 17:36:00
23,2022-06-01 07:53:00,C13472663519,0,,Season         ,$0.00 ,2022-06-01 17:30:00
24,2022-06-01 08:04:00,C13059808448,0,,Season         ,$0.00 ,2022-06-01 22:25:00
26,2022-06-01 08:05:00,C13566119683,0,,Season         ,$0.00 ,2022-06-01 12:45:00
28,2022-06-01 08:07:00,C13565755371,0,,Season         ,$0.00 ,2022-06-01 10:02:00
30,2022-06-01 08:08:00,C13474221747,1.11E+15,,Hourly         ,$9.73 ,2022-06-01 11:56:00
32,2022-06-01 08:09:00,C13470168117,0,,Season         ,$0.00 ,2022-06-01 17:33:00
35,2022-06-01 08:11:00,C13471299455,0,,Season         ,$0.00 ,2022-06-01 17:40:00
37,2022-06-01 08:11:00,C13565758101,0,,Season         ,$0.00 ,2022-06-01 12:02:00
38,2022-06-01 08:11:00,C13470921835,0,,Season         ,$0.00 ,2022-06-01 18:50:00
40,2022-06-01 08:13:00,C13474450106,1.01E+15,,Hourly         ,$11.13 ,2022-06-01 12:28:00
43,2022-06-01 08:15:00,C13469795041,0,,Season         ,$0.00 ,2022-06-01 17:55:00
45,2022-06-01 08:15:00,C13468907756,0,,Season         ,$0.00 ,2022-06-01 19:08:00
47,2022-06-01 08:16:00,C13474871862,0,,Season         ,$0.00 ,2022-06-01 18:03:00
50,2022-06-01 08:19:00,C13471847790,0,,Season         ,$0.00 ,2022-06-01 14:43:00
54,2022-06-01 08:21:00,C13473517676,1.11E+15,,Hourly         ,$23.08 ,2022-06-01 17:12:00
55,2022-06-01 08:22:00,C13565831856,0,,Season         ,$0.00 ,2022-06-01 17:53:00
57,2022-06-01 08:26:00,C13473203991,0,,Season         ,$0.00 ,2022-06-01 17:35:00
59,2022-06-01 08:27:00,C13566270262,0,,Season         ,$0.00 ,2022-06-01 16:42:00
61,2022-06-01 08:30:00,C12365714379,0,,               ,$0.00 ,2022-06-01 21:43:00
65,2022-06-01 08:31:00,C13473115462,0,,Season         ,$0.00 ,2022-06-01 13:50:00
64,2022-06-01 08:31:00,C13565784104,0,,Season         ,$0.00 ,2022-06-01 18:55:00
67,2022-06-01 08:37:00,C13474297835,0,,Season         ,$0.00 ,2022-06-01 11:21:00
70,2022-06-01 08:42:00,C13472402899,0,,Season         ,$0.00 ,2022-06-01 18:35:00
72,2022-06-01 08:42:00,C13470347555,0,,Season         ,$0.00 ,2022-06-01 11:54:00
74,2022-06-01 08:44:00,C13470957551,0,,Season         ,$0.00 ,2022-06-01 17:09:00
75,2022-06-01 08:45:00,C13060606165,0,,Season         ,$0.00 ,2022-06-01 21:53:00
78,2022-06-01 08:47:00,C13468561313,1.11E+15,,Hourly         ,$1.80 ,2022-06-01 09:32:00
79,2022-06-01 08:48:00,C13472405169,0,,Season         ,$0.00 ,2022-06-01 14:14:00
81,2022-06-01 08:53:00,C13388398133,1.11E+15,,Hourly         ,$2.16 ,2022-06-01 09:46:00
83,2022-06-01 08:55:00,C13475045599,0,,Season         ,$0.00 ,2022-06-01 19:31:00
86,2022-06-01 08:59:00,C13566081758,0,,Season         ,$0.00 ,2022-06-01 19:50:00
88,2022-06-01 09:01:00,C13473321457,1.11E+15,,Hourly         ,$21.56 ,2022-06-01 17:14:00
90,2022-06-01 09:02:00,C13474117384,0,,Season         ,$0.00 ,2022-06-01 18:11:00
92,2022-06-01 09:04:00,C13471308332,1.11E+15,,Hourly         ,$8.59 ,2022-06-01 12:18:00
95,2022-06-01 09:06:00,C13475498608,0,,Season         ,$0.00 ,2022-06-01 17:43:00
99,2022-06-01 09:16:00,C13388637773,1.11E+15,,Hourly         ,$0.48 ,2022-06-01 09:28:00
101,2022-06-01 09:19:00,C13467427368,0,,Season         ,$0.00 ,2022-06-01 10:29:00
105,2022-06-01 09:20:00,C13468868609,0,,Season         ,$0.00 ,2022-06-01 19:16:00
103,2022-06-01 09:20:00,C13469312119,0,,Season         ,$0.00 ,2022-06-01 18:25:00
107,2022-06-01 09:27:00,C13475191392,0,,Season         ,$0.00 ,2022-06-01 17:22:00
110,2022-06-01 09:30:00,C13469013545,1.11E+15,,Hourly         ,$11.84 ,2022-06-01 15:47:00
114,2022-06-01 09:35:00,C13856758932,0,,Hourly         ,$0.00 ,2022-06-01 09:40:00
115,2022-06-01 09:36:00,C13472388224,0,,Season         ,$0.00 ,2022-06-01 17:51:00
117,2022-06-01 09:39:00,C13474169003,0,,Season         ,$0.00 ,2022-06-01 12:19:00
119,2022-06-01 09:40:00,C13473089852,0,,Season         ,$0.00 ,2022-06-01 18:19:00
122,2022-06-01 09:42:00,C13472402579,0,,Season         ,$0.00 ,2022-06-01 18:18:00
128,2022-06-01 09:48:00,C13471978973,0,,Season         ,$0.00 ,2022-06-01 16:34:00
132,2022-06-01 09:49:00,C13471938534,1.11E+15,,Hourly         ,$6.24 ,2022-06-01 12:07:00
134,2022-06-01 09:50:00,C13474329285,1.11E+15,,Hourly         ,$2.85 ,2022-06-01 11:00:00
136,2022-06-01 09:52:00,C13468962964,0,,Hourly         ,$0.00 ,2022-06-01 20:26:00
140,2022-06-01 09:57:00,C13472552087,1.11E+15,,Hourly         ,$3.17 ,2022-06-01 11:12:00
141,2022-06-01 09:57:00,C13566271442,0,,Season         ,$0.00 ,2022-06-01 17:35:00
143,2022-06-01 09:59:00,C13388682699,1.11E+15,,Hourly         ,$0.80 ,2022-06-01 10:19:00
145,2022-06-01 10:02:00,C13470479412,1.11E+15,,Hourly         ,$2.16 ,2022-06-01 10:55:00
148,2022-06-01 10:06:00,C13475223768,1.11E+15,,Hourly         ,$23.76 ,2022-06-01 19:04:00
150,2022-06-01 10:09:00,C13475438060,1.11E+15,,Hourly         ,$19.12 ,2022-06-01 17:21:00
152,2022-06-01 10:10:00,C13473649814,0,,Season         ,$0.00 ,2022-06-01 15:14:00
155,2022-06-01 10:16:00,C13472177982,0,,Season         ,$0.00 ,2022-06-01 17:28:00
157,2022-06-01 10:18:00,C13566498581,0,,Hourly         ,$0.00 ,2022-06-01 17:34:00
162,2022-06-01 10:21:00,C13475570268,0,,Season         ,$0.00 ,2022-06-01 19:26:00
166,2022-06-01 10:25:00,C13425695640,0,,Season         ,$0.00 ,2022-06-01 10:31:00
168,2022-06-01 10:27:00,C13472983734,0,,Season         ,$0.00 ,2022-06-01 13:15:00
171,2022-06-01 10:28:00,C13470763271,0,,Season         ,$0.00 ,2022-06-01 17:28:00
176,2022-06-01 10:36:00,C13389079103,1.11E+15,,Hourly         ,$6.11 ,2022-06-01 12:42:00
179,2022-06-01 10:38:00,C13472839384,1.11E+15,,Hourly         ,$7.58 ,2022-06-01 13:13:00
180,2022-06-01 10:39:00,C13058640931,0,,Season         ,$0.00 ,2022-06-01 20:12:00
182,2022-06-01 10:44:00,C13472649823,1.11E+15,,Hourly         ,$3.19 ,2022-06-01 11:50:00
